模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
Ridge,1.5,3.0,3.0,-0.1074,-0.034,-0.0992,-0.3253,0.2686
Logistic,1.5,2.5,1.0,-0.0312,-0.0149,-0.1004,-0.1141,0.3754
Logistic,2.0,2.5,1.5,-0.0517,-0.0226,-0.1111,-0.164,0.3495
XGBoost,1.5,3.0,1.5,-0.0543,-0.0241,-0.1158,-0.2802,0.3754
XGBoost,1.5,2.0,1.0,-0.0309,-0.0161,-0.1158,-0.1946,0.3754
Logistic,3.0,1.0,2.0,-0.0617,-0.0264,-0.1166,-0.2033,0.2492
Logistic,3.0,1.5,3.0,-0.1122,-0.0396,-0.1166,-0.2917,0.2492
XGBoost,2.0,3.0,1.0,-0.0325,-0.0168,-0.1172,-0.2,0.2783
Logistic,1.0,3.0,1.0,-0.0399,-0.0206,-0.1289,-0.1267,0.4304
Ridge,1.5,2.5,3.0,-0.1237,-0.0503,-0.1482,-0.322,0.2686
Logistic,3.0,1.0,2.5,-0.0978,-0.0442,-0.157,-0.2485,0.2492
Ridge,1.5,2.0,2.5,-0.0982,-0.0446,-0.158,-0.2748,0.2686
XGBoost,1.0,2.5,1.0,-0.0492,-0.0276,-0.1672,-0.2268,0.4466
Logistic,2.0,3.0,2.0,-0.0946,-0.0452,-0.1686,-0.2135,0.3495
Logistic,2.0,1.5,1.0,-0.038,-0.0226,-0.1686,-0.112,0.3495
Ridge,1.5,1.5,2.0,-0.0757,-0.0389,-0.1729,-0.2249,0.2686
Logistic,3.0,1.0,3.0,-0.1359,-0.0621,-0.184,-0.2917,0.2492
Ridge,1.5,2.0,3.0,-0.1399,-0.0665,-0.1979,-0.3186,0.2686
Ridge,1.5,1.0,1.5,-0.0564,-0.0333,-0.1979,-0.1721,0.2686
Ridge,1.5,1.5,2.5,-0.1151,-0.0608,-0.2179,-0.2712,0.2686
Logistic,2.0,2.0,1.5,-0.0765,-0.0452,-0.2272,-0.164,0.3495
XGBoost,1.5,2.5,1.5,-0.0818,-0.0491,-0.2418,-0.2802,0.3754
Ridge,1.5,1.0,2.0,-0.0933,-0.0552,-0.248,-0.2211,0.2686
Ridge,1.5,1.5,3.0,-0.1561,-0.0828,-0.248,-0.3152,0.2686
